[ERROR game_server::entry_point] could not set open file limit: unsupported OS
[DEBUG SPAWN] arena=false, type=G5, pos=(-124.6,-5525.3), radius=6500.4, spawn_radius=2166.8, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(1025.2,-5527.2), radius=6502.6, spawn_radius=2167.5, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6502.6, spawn_radius=5202.1, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1253.2,-5527.4), radius=6502.8, spawn_radius=2167.6, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6502.8, spawn_radius=5202.2, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6502.8, spawn_radius=5202.2, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1412.8,-5527.4), radius=6502.8, spawn_radius=2167.6, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(-416.7,-5527.4), radius=6502.8, spawn_radius=2167.6, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6503.0, spawn_radius=5202.4, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6503.0, spawn_radius=5202.4, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6503.0, spawn_radius=5202.4, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6503.0, spawn_radius=5202.4, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6503.0, spawn_radius=5202.4, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(1382.3,-5527.7), radius=6503.2, spawn_radius=2167.7, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(298.3,-5527.7), radius=6503.2, spawn_radius=2167.7, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6503.2, spawn_radius=5202.6, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(142.4,-5527.7), radius=6503.2, spawn_radius=2167.7, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(-1244.1,-5527.7), radius=6503.2, spawn_radius=2167.7, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6503.4, spawn_radius=5202.7, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6503.4, spawn_radius=5202.7, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-60.0,-5527.9), radius=6503.4, spawn_radius=2167.8, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(-856.5,-5527.9), radius=6503.4, spawn_radius=2167.8, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(942.0,-5527.9), radius=6503.4, spawn_radius=2167.8, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(1364.9,-5528.1), radius=6503.6, spawn_radius=2167.9, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6503.6, spawn_radius=5202.9, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(733.5,-5528.1), radius=6503.6, spawn_radius=2167.9, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6503.6, spawn_radius=5202.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6503.6, spawn_radius=5202.9, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6503.8, spawn_radius=5203.0, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-561.2,-5528.2), radius=6503.8, spawn_radius=2167.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6503.8, spawn_radius=5203.0, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1275.7,-5528.2), radius=6503.8, spawn_radius=2167.9, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1054.9,-5528.2), radius=6503.8, spawn_radius=2167.9, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6504.0, spawn_radius=5203.2, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(737.1,-5528.4), radius=6504.0, spawn_radius=2168.0, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6504.0, spawn_radius=5203.2, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-1695.0,-5528.4), radius=6504.0, spawn_radius=2168.0, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1071.1,-5528.4), radius=6504.0, spawn_radius=2168.0, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6504.2, spawn_radius=5203.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(903.0,-5528.6), radius=6504.2, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(1404.9,-5528.6), radius=6504.2, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(796.2,-5528.6), radius=6504.2, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(880.1,-5528.6), radius=6504.2, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6504.4, spawn_radius=5203.5, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(475.8,-5528.7), radius=6504.4, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6504.4, spawn_radius=5203.5, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(1638.4,-5528.7), radius=6504.4, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1236.2,-5528.7), radius=6504.4, spawn_radius=2168.1, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-1195.4,-5528.9), radius=6504.6, spawn_radius=2168.2, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(448.9,-5528.9), radius=6504.6, spawn_radius=2168.2, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(1696.5,-5528.9), radius=6504.6, spawn_radius=2168.2, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6504.6, spawn_radius=5203.7, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6504.6, spawn_radius=5203.7, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(1155.2,-5529.1), radius=6504.8, spawn_radius=2168.3, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(1406.9,-5529.1), radius=6504.8, spawn_radius=2168.3, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(514.4,-5529.1), radius=6504.8, spawn_radius=2168.3, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6504.8, spawn_radius=5203.8, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(-474.1,-5529.1), radius=6504.8, spawn_radius=2168.3, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-1492.7,-5529.3), radius=6505.0, spawn_radius=2168.3, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(336.0,-5529.3), radius=6505.0, spawn_radius=2168.3, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6505.0, spawn_radius=5204.0, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6505.0, spawn_radius=5204.0, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6505.0, spawn_radius=5204.0, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6505.2, spawn_radius=5204.2, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(904.2,-5529.4), radius=6505.2, spawn_radius=2168.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1306.1,-5529.4), radius=6505.2, spawn_radius=2168.4, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6505.2, spawn_radius=5204.2, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6505.2, spawn_radius=5204.2, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(1251.0,-5529.6), radius=6505.4, spawn_radius=2168.5, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6505.4, spawn_radius=5204.3, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6505.4, spawn_radius=5204.3, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6505.4, spawn_radius=5204.3, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(514.2,-5529.6), radius=6505.4, spawn_radius=2168.5, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6505.6, spawn_radius=5204.5, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-799.0,-5529.8), radius=6505.6, spawn_radius=2168.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6505.6, spawn_radius=5204.5, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1336.3,-5529.8), radius=6505.6, spawn_radius=2168.5, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(926.6,-5529.8), radius=6505.6, spawn_radius=2168.5, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6505.8, spawn_radius=5204.6, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6505.8, spawn_radius=5204.6, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6505.8, spawn_radius=5204.6, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-1008.0,-5529.9), radius=6505.8, spawn_radius=2168.6, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-901.1,-5529.9), radius=6505.8, spawn_radius=2168.6, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6506.0, spawn_radius=5204.8, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(491.4,-5530.1), radius=6506.0, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1.9,-5530.1), radius=6506.0, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1056.9,-5530.1), radius=6506.0, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(350.9,-5530.1), radius=6506.0, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6506.2, spawn_radius=5205.0, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(1059.2,-5530.3), radius=6506.2, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-756.7,-5530.3), radius=6506.2, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-966.7,-5530.3), radius=6506.2, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(1281.1,-5530.3), radius=6506.2, spawn_radius=2168.7, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(1680.3,-5530.4), radius=6506.4, spawn_radius=2168.8, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6506.4, spawn_radius=5205.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6506.4, spawn_radius=5205.1, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(1282.7,-5530.4), radius=6506.4, spawn_radius=2168.8, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6506.4, spawn_radius=5205.1, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-812.4,-5530.6), radius=6506.6, spawn_radius=2168.9, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(1513.6,-5530.6), radius=6506.6, spawn_radius=2168.9, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(1355.4,-5530.6), radius=6506.6, spawn_radius=2168.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-210.9,-5530.6), radius=6506.6, spawn_radius=2168.9, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6506.6, spawn_radius=5205.3, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6506.8, spawn_radius=5205.4, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6506.8, spawn_radius=5205.4, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(1004.0,-5530.8), radius=6506.8, spawn_radius=2168.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6506.8, spawn_radius=5205.4, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6506.8, spawn_radius=5205.4, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6507.0, spawn_radius=5205.6, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6507.0, spawn_radius=5205.6, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1004.1,-5531.0), radius=6507.0, spawn_radius=2169.0, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6507.0, spawn_radius=5205.6, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-866.5,-5531.0), radius=6507.0, spawn_radius=2169.0, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6507.2, spawn_radius=5205.8, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6507.2, spawn_radius=5205.8, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6507.2, spawn_radius=5205.8, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6507.2, spawn_radius=5205.8, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(354.5,-5531.1), radius=6507.2, spawn_radius=2169.1, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(1677.6,-5531.3), radius=6507.4, spawn_radius=2169.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(877.8,-5531.3), radius=6507.4, spawn_radius=2169.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6507.4, spawn_radius=5205.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1129.8,-5531.3), radius=6507.4, spawn_radius=2169.1, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-919.9,-5531.3), radius=6507.4, spawn_radius=2169.1, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6507.6, spawn_radius=5206.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6507.6, spawn_radius=5206.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(1454.8,-5531.5), radius=6507.6, spawn_radius=2169.2, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1555.3,-5531.5), radius=6507.6, spawn_radius=2169.2, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(857.3,-5531.5), radius=6507.6, spawn_radius=2169.2, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1470.6,-5531.6), radius=6507.8, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1310.8,-5531.6), radius=6507.8, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6507.8, spawn_radius=5206.2, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1626.4,-5531.6), radius=6507.8, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-219.0,-5531.6), radius=6507.8, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(177.0,-5531.8), radius=6508.0, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6508.0, spawn_radius=5206.4, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-1067.3,-5531.8), radius=6508.0, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(82.0,-5531.8), radius=6508.0, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(759.1,-5531.8), radius=6508.0, spawn_radius=2169.3, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(742.8,-5532.0), radius=6508.2, spawn_radius=2169.4, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6508.2, spawn_radius=5206.6, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(356.9,-5532.0), radius=6508.2, spawn_radius=2169.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(171.2,-5532.0), radius=6508.2, spawn_radius=2169.4, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-127.7,-5532.0), radius=6508.2, spawn_radius=2169.4, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-1563.6,-5532.1), radius=6508.4, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-982.2,-5532.1), radius=6508.4, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-1258.9,-5532.1), radius=6508.4, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6508.4, spawn_radius=5206.7, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(-487.9,-5532.1), radius=6508.4, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(1387.0,-5532.3), radius=6508.6, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6508.6, spawn_radius=5206.9, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(602.4,-5532.3), radius=6508.6, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6508.6, spawn_radius=5206.9, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-1503.5,-5532.3), radius=6508.6, spawn_radius=2169.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6508.8, spawn_radius=5207.0, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(104.3,-5532.5), radius=6508.8, spawn_radius=2169.6, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6508.8, spawn_radius=5207.0, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(-1461.8,-5532.5), radius=6508.8, spawn_radius=2169.6, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(1551.7,-5532.5), radius=6508.8, spawn_radius=2169.6, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1370.9,-5532.7), radius=6509.0, spawn_radius=2169.7, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(1162.2,-5532.7), radius=6509.0, spawn_radius=2169.7, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6509.0, spawn_radius=5207.2, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1471.6,-5532.7), radius=6509.0, spawn_radius=2169.7, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6509.0, spawn_radius=5207.2, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6509.2, spawn_radius=5207.4, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6509.2, spawn_radius=5207.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1196.7,-5532.8), radius=6509.2, spawn_radius=2169.7, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6509.2, spawn_radius=5207.4, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6509.2, spawn_radius=5207.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6509.4, spawn_radius=5207.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(68.6,-5533.0), radius=6509.4, spawn_radius=2169.8, score=0
